🔒 Row ID,team_id,category_id,indicator_id,mode_id
ZpAd7SAyQru1USrWQGSB6g,dBKL2fNDOcwXeQ8Hpc10,1,1,1
Y0ws5Bb5RTii3fEjjElDaw,dBKL2fNDOcwXeQ8Hpc10,1,2,1
xTEY-cA-TSG5GJKI7j1nGw,dBKL2fNDOcwXeQ8Hpc10,1,3,1
0CeZYoFOSeOndYbT2DuHQw,dBKL2fNDOcwXeQ8Hpc10,1,4,1
5LLEd.O.QpCiSljbam32Cw,dBKL2fNDOcwXeQ8Hpc10,1,5,1
eTGNzMAlTOatAoMeFJe92g,dBKL2fNDOcwXeQ8Hpc10,1,6,1
U1JWjAk8Tou0Kjfpy66Qdw,dBKL2fNDOcwXeQ8Hpc10,1,7,1
ZvLYqYQUTH6ghOyORzlQ8A,dBKL2fNDOcwXeQ8Hpc10,1,8,1
OhEhH-5ASCyOQRIaNjB6wQ,dBKL2fNDOcwXeQ8Hpc10,1,9,1
lHqpNxG0SGeBdtGk4rbGYA,dBKL2fNDOcwXeQ8Hpc10,1,1,2
RKtXJkHCSZuL.dJeZV3Bqg,dBKL2fNDOcwXeQ8Hpc10,1,2,2
ympLQ85GRwWe8COGPA1liA,dBKL2fNDOcwXeQ8Hpc10,1,3,2
7aaKQsrsSe61qB2iRYVI4g,dBKL2fNDOcwXeQ8Hpc10,1,4,2
tGn8U2z.T06MuqqDLIdHUA,dBKL2fNDOcwXeQ8Hpc10,1,5,2
m.anqfqDTQqQgk.Z0640fg,dBKL2fNDOcwXeQ8Hpc10,1,6,2
iWRYR7FzTDa0p3yusp1RhQ,dBKL2fNDOcwXeQ8Hpc10,1,7,2
43yHSq9NQSqoAM22Nv98NA,dBKL2fNDOcwXeQ8Hpc10,1,8,2
A8bfIWteRCuAw8S6m2Jczg,dBKL2fNDOcwXeQ8Hpc10,1,9,2
9jA6sjNgTvOwSh1IpAsXTw,dBKL2fNDOcwXeQ8Hpc10,1,1,3
w6dHMVdtQwOqJDTxScD0Ag,dBKL2fNDOcwXeQ8Hpc10,1,2,3
O-MpjAkkTv6.9SbcoB4GKQ,dBKL2fNDOcwXeQ8Hpc10,1,3,3
NFZFD.7fSQO5w.iCOSLQzA,dBKL2fNDOcwXeQ8Hpc10,1,4,3
dlefoahqQJyT.ud1wbrf5A,dBKL2fNDOcwXeQ8Hpc10,1,5,3
xcxxxaYwRhaYOaYlzx4FDA,dBKL2fNDOcwXeQ8Hpc10,1,6,3
XXa5461hSFSyzfnSlcK2qg,dBKL2fNDOcwXeQ8Hpc10,1,7,3
bj23b.K1RIyrzwuGwdLltQ,dBKL2fNDOcwXeQ8Hpc10,1,8,3
a.f0dDKwqRIq1YhJqALmlWg,dBKL2fNDOcwXeQ8Hpc10,1,9,3
j-48MlOzTSaIJ-rXGgZTfA,dBKL2fNDOcwXeQ8Hpc10,1,1,4
H.Unc-YST6isoe3qdZWOkg,dBKL2fNDOcwXeQ8Hpc10,1,2,4
hlFCBSM9R3y1i6J50AqsJQ,dBKL2fNDOcwXeQ8Hpc10,1,3,4
4EXeoazdSZ2sEqpb8q3ecQ,dBKL2fNDOcwXeQ8Hpc10,1,4,4
TfxzZAB3SBCzIRS2-o8Lmg,dBKL2fNDOcwXeQ8Hpc10,1,5,4
LDfKoUamRlKoCNYPQqkXrg,dBKL2fNDOcwXeQ8Hpc10,1,6,4
xXaXv6B7RZSsW5uKQtQScw,dBKL2fNDOcwXeQ8Hpc10,1,7,4
YDvG3uWUTRabgtld1GuI7Q,dBKL2fNDOcwXeQ8Hpc10,1,8,4
430kiKr9RkCLtSqdhF9SIw,dBKL2fNDOcwXeQ8Hpc10,1,9,4
FkZ8wao5TKG9n9gMQWqOFg,dBKL2fNDOcwXeQ8Hpc10,1,1,5
yyk0JmgaSrednaaOIO2hDQ,dBKL2fNDOcwXeQ8Hpc10,1,2,5
tO7USfCwTuWa7NHQ0F52Iw,dBKL2fNDOcwXeQ8Hpc10,1,3,5
7X5QU0VpRVGq-oVlnioa7w,dBKL2fNDOcwXeQ8Hpc10,1,4,5
6-Puv9ISQe-UhbB5vEDHfg,dBKL2fNDOcwXeQ8Hpc10,1,5,5
zJCaVWCXR9Gep7Aw.SYiDg,dBKL2fNDOcwXeQ8Hpc10,1,6,5
4SuUzAuzRl2jKG6b0FXR5Q,dBKL2fNDOcwXeQ8Hpc10,1,7,5
ZRogi2P0QoqKPmaLi3JwlA,dBKL2fNDOcwXeQ8Hpc10,1,8,5
w5KIjTKDSVOm5X7dHA2iqg,dBKL2fNDOcwXeQ8Hpc10,1,9,5
dDLfK.fTRf-M77EmDCheDw,dBKL2fNDOcwXeQ8Hpc10,2,10,1
