team_id,ORG / org_id,team_name,team_Image,YEAR AUX
vdpZwd6QRd2i0NFueuPXOA,oSZO4yW.Sh6RI97xh.LkkA,USA 49er,https://images.pexels.com/photos/1202723/pexels-photo-1202723.jpeg,2026
UJEpYnoOSnKSfaXjkFvzsA,a.VPkP-azQhaaU521qMC.IQ,ARG 49er,https://images.pexels.com/photos/33525483/pexels-photo-33525483.jpeg,
